Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,calc_participation
Anderson,Banks,1533.0,217.0,563.0,101.0,1.0,882.0,12.0,45.0,41.0,0.0,98.0,5.0,19.0,2.0,0.0,26.0,1006.0,65.6
Baldwin,Banks,876.0,84.0,308.0,112.0,0.0,504.0,20.0,47.0,44.0,0.0,111.0,2.0,6.0,5.0,0.0,13.0,628.0,71.7
Berlin,Banks,415.0,42.0,192.0,28.0,1.0,263.0,3.0,19.0,5.0,0.0,27.0,2.0,2.0,0.0,0.0,4.0,294.0,70.8
Bushville,Banks,816.0,115.0,294.0,41.0,1.0,451.0,7.0,21.0,13.0,0.0,41.0,5.0,6.0,3.0,0.0,14.0,506.0,62.0
Columbia,Banks,363.0,64.0,164.0,30.0,0.0,258.0,4.0,7.0,6.0,0.0,17.0,1.0,2.0,0.0,1.0,4.0,279.0,76.9
Davids,Banks,1977.0,236.0,727.0,122.0,4.0,1089.0,26.0,77.0,50.0,0.0,153.0,8.0,20.0,4.0,0.0,32.0,1274.0,64.4
Golden Hill,Banks,1008.0,126.0,345.0,67.0,0.0,538.0,14.0,30.0,33.0,2.0,79.0,3.0,3.0,0.0,0.0,6.0,623.0,61.8
Grove River,Banks,600.0,85.0,229.0,67.0,0.0,381.0,10.0,16.0,8.0,0.0,34.0,6.0,2.0,0.0,0.0,8.0,423.0,70.5
Hollingsworth,Banks,667.0,82.0,288.0,47.0,1.0,418.0,4.0,19.0,27.0,0.0,50.0,3.0,8.0,3.0,0.0,14.0,482.0,72.3
Homer,Banks,1544.0,169.0,658.0,109.0,1.0,937.0,19.0,48.0,34.0,0.0,101.0,8.0,10.0,4.0,0.0,22.0,1060.0,68.7
Poplar Springs,Banks,1775.0,220.0,720.0,159.0,1.0,1100.0,21.0,48.0,38.0,0.0,107.0,8.0,18.0,3.0,0.0,29.0,1236.0,69.6
Washington,Banks,704.0,82.0,299.0,50.0,1.0,432.0,9.0,27.0,18.0,0.0,54.0,1.0,6.0,1.0,0.0,8.0,494.0,70.2
Wilmonts,Banks,620.0,73.0,261.0,49.0,0.0,383.0,3.0,16.0,8.0,0.0,27.0,4.0,4.0,2.0,0.0,10.0,420.0,67.7
Precinct 1,Taylor,1108.0,21.0,90.0,18.0,1.0,130.0,124.0,265.0,133.0,1.0,523.0,3.0,10.0,5.0,0.0,18.0,671.0,60.6
Precinct 5,Taylor,2219.0,170.0,1014.0,150.0,8.0,1342.0,51.0,114.0,67.0,1.0,233.0,3.0,24.0,4.0,0.0,31.0,1606.0,72.4
Precinct 6,Taylor,2073.0,155.0,639.0,130.0,3.0,927.0,98.0,207.0,251.0,0.0,556.0,6.0,19.0,7.0,0.0,32.0,1515.0,73.1
District 1A,Crawford,516.0,63.0,98.0,28.0,0.0,189.0,43.0,53.0,37.0,0.0,133.0,1.0,4.0,0.0,0.0,5.0,327.0,63.4
District 1B,Crawford,1025.0,48.0,215.0,37.0,1.0,301.0,50.0,238.0,114.0,0.0,402.0,1.0,8.0,2.0,0.0,11.0,714.0,69.7
District 2,Crawford,1659.0,115.0,469.0,98.0,0.0,682.0,68.0,270.0,168.0,1.0,507.0,8.0,13.0,7.0,0.0,28.0,1217.0,73.4
District 3,Crawford,1738.0,193.0,709.0,120.0,0.0,1022.0,35.0,93.0,53.0,0.0,181.0,6.0,16.0,6.0,0.0,28.0,1231.0,70.8
District 4,Crawford,1805.0,351.0,609.0,135.0,0.0,1095.0,35.0,74.0,54.0,0.0,163.0,7.0,10.0,11.0,0.0,28.0,1286.0,71.2
District 5,Crawford,1769.0,356.0,571.0,114.0,0.0,1041.0,31.0,78.0,66.0,0.0,175.0,16.0,13.0,6.0,0.0,35.0,1251.0,70.7
1,Spalding,2260.0,47.0,46.0,32.0,8.0,133.0,248.0,280.0,264.0,38.0,830.0,15.0,5.0,11.0,1.0,32.0,995.0,44.0
2,Spalding,1956.0,35.0,40.0,19.0,9.0,103.0,271.0,276.0,264.0,15.0,826.0,10.0,8.0,8.0,0.0,26.0,955.0,48.8
3,Spalding,2774.0,243.0,840.0,302.0,147.0,1532.0,68.0,245.0,171.0,50.0,534.0,9.0,15.0,15.0,6.0,45.0,2111.0,76.1
5,Spalding,3715.0,165.0,432.0,198.0,68.0,863.0,231.0,512.0,310.0,92.0,1145.0,16.0,21.0,13.0,5.0,55.0,2063.0,55.5
6,Spalding,2438.0,58.0,137.0,72.0,11.0,278.0,253.0,361.0,300.0,14.0,928.0,8.0,12.0,11.0,1.0,32.0,1238.0,50.8
7,Spalding,1705.0,313.0,458.0,185.0,16.0,972.0,68.0,142.0,88.0,4.0,302.0,15.0,11.0,6.0,0.0,32.0,1306.0,76.6
8,Spalding,1789.0,255.0,482.0,190.0,15.0,942.0,90.0,137.0,107.0,7.0,341.0,8.0,6.0,7.0,2.0,23.0,1306.0,73.0
9,Spalding,1950.0,370.0,500.0,181.0,24.0,1075.0,47.0,74.0,77.0,7.0,205.0,7.0,13.0,9.0,0.0,29.0,1309.0,67.1
10,Spalding,1981.0,275.0,467.0,146.0,8.0,896.0,135.0,231.0,141.0,16.0,523.0,7.0,7.0,6.0,0.0,20.0,1439.0,72.6
11,Spalding,2506.0,406.0,593.0,158.0,20.0,1177.0,166.0,248.0,189.0,10.0,613.0,14.0,8.0,10.0,1.0,33.0,1823.0,72.7
12,Spalding,2163.0,430.0,612.0,210.0,27.0,1279.0,59.0,112.0,107.0,2.0,280.0,17.0,8.0,4.0,1.0,30.0,1589.0,73.5
13,Spalding,2586.0,560.0,587.0,217.0,42.0,1406.0,62.0,109.0,69.0,7.0,247.0,14.0,12.0,11.0,1.0,38.0,1691.0,65.4
14,Spalding,1985.0,348.0,289.0,133.0,19.0,789.0,128.0,116.0,103.0,6.0,353.0,21.0,3.0,8.0,1.0,33.0,1175.0,59.2
16,Spalding,4596.0,177.0,430.0,183.0,22.0,812.0,332.0,703.0,627.0,52.0,1714.0,19.0,18.0,13.0,0.0,50.0,2576.0,56.0
17,Spalding,2011.0,249.0,375.0,81.0,20.0,725.0,110.0,150.0,126.0,7.0,393.0,8.0,8.0,13.0,1.0,30.0,1148.0,57.1
19,Spalding,2664.0,388.0,661.0,243.0,14.0,1306.0,133.0,216.0,163.0,9.0,521.0,12.0,13.0,10.0,0.0,35.0,1862.0,69.9
20,Spalding,2190.0,460.0,583.0,165.0,20.0,1228.0,49.0,88.0,80.0,4.0,221.0,18.0,7.0,3.0,1.0,29.0,1478.0,67.5
21,Spalding,4716.0,339.0,1188.0,698.0,27.0,2252.0,100.0,498.0,771.0,10.0,1379.0,19.0,15.0,35.0,0.0,69.0,3700.0,78.5
15361 Lyons,Toombs,0.0,297.0,1083.0,249.0,0.0,1629.0,136.0,269.0,170.0,1.0,576.0,7.0,18.0,9.0,0.0,34.0,2239.0,
39 Newbranch,Toombs,0.0,321.0,499.0,112.0,0.0,932.0,18.0,33.0,60.0,0.0,111.0,1.0,6.0,3.0,0.0,10.0,1053.0,
43 Cedar Crossing,Toombs,0.0,343.0,444.0,108.0,0.0,895.0,27.0,24.0,22.0,1.0,74.0,6.0,7.0,1.0,0.0,14.0,983.0,
513 VPD,Toombs,0.0,484.0,1749.0,471.0,4.0,2708.0,219.0,541.0,445.0,1.0,1206.0,22.0,32.0,14.0,0.0,68.0,3982.0,
514 STIALC,Toombs,0.0,333.0,1045.0,251.0,0.0,1629.0,174.0,384.0,304.0,3.0,865.0,7.0,22.0,18.0,0.0,47.0,2541.0,
Senoia,Coweta,5838.0,993.0,1770.0,661.0,0.0,3424.0,157.0,472.0,465.0,1.0,1095.0,45.0,41.0,22.0,0.0,108.0,4627.0,79.3
Moreland,Coweta,2758.0,895.0,579.0,286.0,0.0,1760.0,117.0,98.0,171.0,0.0,386.0,19.0,14.0,12.0,1.0,46.0,2192.0,79.5
Pine Road,Coweta,2095.0,545.0,494.0,233.0,0.0,1272.0,49.0,100.0,91.0,0.0,240.0,16.0,8.0,5.0,0.0,29.0,1541.0,73.6
Dresden,Coweta,839.0,331.0,110.0,64.0,0.0,505.0,51.0,24.0,42.0,0.0,117.0,12.0,2.0,2.0,0.0,16.0,638.0,76.0
Newnan,Coweta,3478.0,325.0,342.0,182.0,0.0,849.0,317.0,458.0,489.0,0.0,1264.0,25.0,13.0,17.0,0.0,55.0,2168.0,62.3
Sharpsburg,Coweta,4526.0,869.0,1476.0,414.0,1.0,2760.0,122.0,315.0,259.0,0.0,696.0,32.0,34.0,16.0,0.0,82.0,3538.0,78.2
Fischer Road,Coweta,4328.0,661.0,1320.0,452.0,0.0,2433.0,168.0,360.0,349.0,1.0,878.0,29.0,36.0,19.0,0.0,84.0,3395.0,78.4
Cedar Creek,Coweta,5330.0,972.0,1592.0,665.0,0.0,3229.0,144.0,394.0,425.0,0.0,963.0,47.0,30.0,25.0,0.0,102.0,4294.0,80.6
Grantville,Coweta,2572.0,672.0,357.0,171.0,1.0,1201.0,198.0,142.0,162.0,0.0,502.0,24.0,13.0,11.0,0.0,48.0,1751.0,68.1
Haralson,Coweta,2339.0,769.0,498.0,185.0,0.0,1452.0,93.0,78.0,133.0,0.0,304.0,26.0,9.0,12.0,0.0,47.0,1803.0,77.1
Welcome,Coweta,3212.0,1041.0,470.0,302.0,0.0,1813.0,154.0,132.0,198.0,0.0,484.0,32.0,10.0,10.0,0.0,52.0,2349.0,73.1
Panther Creek,Coweta,3028.0,859.0,501.0,252.0,0.0,1612.0,148.0,127.0,219.0,0.0,494.0,31.0,17.0,15.0,0.0,63.0,2169.0,71.6
Raymond,Coweta,2492.0,604.0,650.0,241.0,0.0,1495.0,99.0,133.0,144.0,0.0,376.0,17.0,11.0,16.0,0.0,44.0,1915.0,76.8
Turin,Coweta,4477.0,1002.0,1357.0,445.0,0.0,2804.0,165.0,304.0,265.0,0.0,734.0,42.0,25.0,13.0,0.0,80.0,3618.0,80.8
Smokey Road,Coweta,2559.0,410.0,334.0,175.0,0.0,919.0,225.0,260.0,262.0,1.0,748.0,21.0,14.0,14.0,0.0,49.0,1716.0,67.1
Central,Coweta,4395.0,268.0,395.0,174.0,0.0,837.0,456.0,575.0,478.0,3.0,1512.0,28.0,26.0,22.0,2.0,78.0,2427.0,55.2
Newnan Centre,Coweta,20465.0,2064.0,4629.0,1814.0,0.0,8507.0,1102.0,2831.0,2164.0,0.0,6097.0,120.0,129.0,119.0,2.0,370.0,14974.0,73.2
Greentop,Coweta,2846.0,468.0,456.0,311.0,0.0,1235.0,182.0,267.0,288.0,1.0,738.0,22.0,17.0,21.0,0.0,60.0,2033.0,71.4
Expo Center,Coweta,1974.0,456.0,351.0,240.0,0.0,1047.0,141.0,136.0,150.0,0.0,427.0,21.0,6.0,11.0,0.0,38.0,1512.0,76.6
White Oak,Coweta,4636.0,685.0,1304.0,386.0,1.0,2376.0,213.0,443.0,371.0,0.0,1027.0,31.0,42.0,24.0,0.0,97.0,3500.0,75.5
Madras,Coweta,4462.0,709.0,1123.0,459.0,0.0,2291.0,189.0,510.0,432.0,4.0,1135.0,34.0,37.0,24.0,0.0,95.0,3521.0,78.9
Cannongate,Coweta,3653.0,789.0,1027.0,397.0,0.0,2213.0,131.0,272.0,226.0,0.0,629.0,27.0,25.0,22.0,0.0,74.0,2916.0,79.8
Westside,Coweta,838.0,83.0,56.0,38.0,0.0,177.0,162.0,76.0,98.0,0.0,336.0,12.0,2.0,1.0,0.0,15.0,528.0,63.0
Northside,Coweta,2285.0,533.0,348.0,248.0,0.0,1129.0,191.0,161.0,217.0,1.0,570.0,29.0,11.0,17.0,0.0,57.0,1756.0,76.8
Thomas Crossroads,Coweta,4962.0,832.0,1641.0,448.0,0.0,2921.0,158.0,383.0,311.0,0.0,852.0,34.0,40.0,18.0,0.0,92.0,3865.0,77.9
Coweta Central Library,Coweta,1723.0,270.0,607.0,161.0,0.0,1038.0,67.0,150.0,94.0,0.0,311.0,10.0,9.0,8.0,0.0,27.0,1376.0,79.9
Wyatt,Jasper,1940.0,441.0,485.0,131.0,1.0,1058.0,78.0,80.0,106.0,1.0,265.0,11.0,8.0,5.0,0.0,24.0,1347.0,69.4
Monticello,Jasper,4516.0,265.0,1529.0,345.0,10.0,2149.0,165.0,546.0,410.0,0.0,1121.0,16.0,30.0,16.0,0.0,62.0,3332.0,73.8
Martin-Burney,Jasper,3976.0,797.0,1424.0,322.0,1.0,2544.0,53.0,133.0,118.0,0.0,304.0,29.0,21.0,15.0,0.0,65.0,2913.0,73.3
Pearson County,Atkinson,1802.0,226.0,707.0,75.0,0.0,1008.0,33.0,93.0,38.0,0.0,164.0,4.0,7.0,2.0,0.0,13.0,1185.0,65.8
Axson,Atkinson,742.0,189.0,245.0,26.0,1.0,461.0,21.0,22.0,3.0,0.0,46.0,6.0,4.0,0.0,0.0,10.0,517.0,69.7
Willacoochee,Atkinson,1311.0,226.0,296.0,43.0,0.0,565.0,102.0,130.0,38.0,0.0,270.0,9.0,8.0,0.0,0.0,17.0,852.0,65.0
Pearson City,Atkinson,944.0,68.0,144.0,26.0,0.0,238.0,64.0,185.0,44.0,0.0,293.0,4.0,7.0,1.0,0.0,12.0,543.0,57.5
Allgood Elem,DeKalb,2858.0,47.0,73.0,68.0,1.0,189.0,220.0,892.0,566.0,4.0,1682.0,13.0,15.0,11.0,0.0,39.0,1910.0,66.8
Ashford Park Elem,DeKalb,2432.0,213.0,601.0,194.0,0.0,1008.0,86.0,494.0,365.0,1.0,946.0,14.0,19.0,12.0,0.0,45.0,1999.0,82.2
Austin,DeKalb,2538.0,242.0,635.0,345.0,3.0,1225.0,53.0,495.0,400.0,1.0,949.0,13.0,9.0,7.0,0.0,29.0,2203.0,86.8
Avondale,DeKalb,2906.0,211.0,226.0,149.0,0.0,586.0,223.0,920.0,737.0,1.0,1881.0,15.0,21.0,22.0,0.0,58.0,2525.0,86.9
Austin Drive,DeKalb,2536.0,25.0,33.0,30.0,2.0,90.0,187.0,621.0,428.0,14.0,1250.0,6.0,22.0,13.0,0.0,41.0,1381.0,54.5
Ashford Dunwoody Rd,DeKalb,2966.0,205.0,668.0,256.0,4.0,1133.0,58.0,758.0,500.0,2.0,1318.0,9.0,17.0,13.0,0.0,39.0,2490.0,84.0
Ashford Parkside,DeKalb,3664.0,188.0,644.0,319.0,2.0,1153.0,96.0,789.0,684.0,4.0,1573.0,10.0,21.0,19.0,0.0,50.0,2776.0,75.8
Avondale High,DeKalb,3151.0,52.0,141.0,101.0,0.0,294.0,109.0,1115.0,916.0,4.0,2144.0,15.0,18.0,16.0,0.0,49.0,2487.0,78.9
Boulevard,DeKalb,4675.0,54.0,168.0,85.0,1.0,308.0,243.0,1820.0,1177.0,3.0,3243.0,11.0,31.0,20.0,0.0,62.0,3613.0,77.3
Briar Vista Elem,DeKalb,2965.0,127.0,211.0,150.0,1.0,489.0,141.0,788.0,776.0,0.0,1705.0,13.0,9.0,24.0,0.0,46.0,2240.0,75.5
Briarlake Elem,DeKalb,1752.0,139.0,232.0,167.0,0.0,538.0,76.0,451.0,388.0,0.0,915.0,5.0,13.0,14.0,1.0,33.0,1486.0,84.8
Briarwood,DeKalb,2428.0,127.0,415.0,145.0,1.0,688.0,98.0,578.0,392.0,3.0,1071.0,8.0,15.0,15.0,0.0,38.0,1797.0,74.0
Brockett Elem,DeKalb,2752.0,79.0,290.0,198.0,0.0,567.0,136.0,717.0,484.0,7.0,1344.0,6.0,22.0,14.0,0.0,42.0,1953.0,71.0
Briarcliff,DeKalb,3122.0,163.0,344.0,313.0,4.0,824.0,93.0,641.0,722.0,3.0,1459.0,13.0,15.0,21.0,0.0,49.0,2332.0,74.7
Brockett,DeKalb,2681.0,147.0,254.0,156.0,3.0,560.0,163.0,686.0,455.0,5.0,1309.0,19.0,22.0,11.0,0.0,52.0,1921.0,71.7
Brookhaven,DeKalb,3444.0,271.0,730.0,245.0,1.0,1247.0,123.0,810.0,549.0,2.0,1484.0,13.0,27.0,18.0,0.0,58.0,2789.0,81.0
Browns Mill Elem,DeKalb,3829.0,19.0,43.0,36.0,0.0,98.0,296.0,1463.0,847.0,5.0,2611.0,13.0,16.0,15.0,0.0,44.0,2753.0,71.9
Bouldercrest Road,DeKalb,2004.0,9.0,32.0,14.0,0.0,55.0,158.0,752.0,358.0,2.0,1270.0,3.0,9.0,3.0,0.0,15.0,1340.0,66.9
Bethune Middle,DeKalb,4838.0,27.0,58.0,39.0,4.0,128.0,320.0,1356.0,946.0,16.0,2638.0,9.0,16.0,13.0,0.0,38.0,2804.0,58.0
Burgess Elem,DeKalb,3493.0,41.0,97.0,53.0,2.0,193.0,171.0,1328.0,871.0,6.0,2376.0,12.0,21.0,17.0,0.0,50.0,2619.0,75.0
Columbia Drive,DeKalb,2526.0,14.0,14.0,30.0,0.0,58.0,220.0,591.0,428.0,8.0,1247.0,6.0,8.0,12.0,0.0,26.0,1331.0,52.7
Canby Lane Elem,DeKalb,2004.0,11.0,22.0,22.0,0.0,55.0,214.0,534.0,416.0,7.0,1171.0,11.0,8.0,10.0,2.0,31.0,1257.0,62.7
Columbia Elem,DeKalb,1794.0,3.0,15.0,9.0,1.0,28.0,148.0,325.0,224.0,10.0,707.0,1.0,6.0,0.0,0.0,7.0,742.0,41.4
Cedar Grove Elem,DeKalb,4097.0,23.0,40.0,21.0,2.0,86.0,286.0,1463.0,761.0,9.0,2519.0,7.0,28.0,14.0,0.0,49.0,2654.0,64.8
Chamblee,DeKalb,2231.0,109.0,332.0,85.0,0.0,526.0,109.0,574.0,376.0,2.0,1061.0,14.0,23.0,14.0,1.0,52.0,1639.0,73.5
Candler-Murphey Candler Elem,DeKalb,3712.0,29.0,87.0,43.0,0.0,159.0,273.0,1388.0,614.0,6.0,2281.0,15.0,22.0,14.0,1.0,52.0,2492.0,67.1
Chapel Hill Elem,DeKalb,3349.0,19.0,33.0,22.0,1.0,75.0,250.0,1189.0,676.0,7.0,2122.0,9.0,27.0,10.0,0.0,46.0,2243.0,67.0
Chesnut Elem,DeKalb,2363.0,106.0,244.0,86.0,1.0,437.0,173.0,700.0,348.0,1.0,1222.0,12.0,14.0,6.0,0.0,32.0,1691.0,71.6
Clairemont West,DeKalb,3264.0,75.0,188.0,163.0,1.0,427.0,111.0,1144.0,1059.0,3.0,2317.0,10.0,22.0,14.0,0.0,46.0,2790.0,85.5
Clairmont Road,DeKalb,3223.0,99.0,197.0,199.0,2.0,497.0,146.0,821.0,873.0,4.0,1844.0,4.0,11.0,12.0,0.0,27.0,2368.0,73.5
Clarkston,DeKalb,3878.0,45.0,94.0,39.0,0.0,178.0,369.0,931.0,413.0,13.0,1726.0,18.0,21.0,10.0,1.0,50.0,1954.0,50.4
Clifton,DeKalb,1731.0,8.0,24.0,15.0,0.0,47.0,128.0,519.0,323.0,5.0,975.0,2.0,7.0,6.0,1.0,16.0,1038.0,60.0
Columbia Middle,DeKalb,2178.0,16.0,23.0,1.0,0.0,40.0,146.0,594.0,336.0,6.0,1082.0,3.0,5.0,11.0,1.0,20.0,1142.0,52.4
Coan Recreation Center,DeKalb,4230.0,32.0,159.0,79.0,1.0,271.0,186.0,1537.0,885.0,3.0,2611.0,13.0,32.0,23.0,0.0,68.0,2950.0,69.7
Cross Keys High,DeKalb,2260.0,104.0,275.0,153.0,1.0,533.0,95.0,496.0,445.0,3.0,1039.0,14.0,8.0,19.0,0.0,41.0,1613.0,71.4
Crossroads,DeKalb,2898.0,17.0,35.0,27.0,0.0,79.0,235.0,862.0,605.0,8.0,1710.0,6.0,18.0,14.0,0.0,38.0,1827.0,63.0
Candler,DeKalb,3537.0,37.0,70.0,21.0,1.0,129.0,222.0,984.0,590.0,13.0,1809.0,12.0,23.0,10.0,0.0,45.0,1983.0,56.1
Cedar Grove Middle,DeKalb,1896.0,15.0,18.0,13.0,0.0,46.0,122.0,487.0,253.0,3.0,865.0,6.0,14.0,4.0,1.0,25.0,936.0,49.4
Cedar Grove South,DeKalb,3962.0,18.0,44.0,43.0,0.0,105.0,254.0,1558.0,717.0,5.0,2534.0,14.0,28.0,10.0,1.0,53.0,2692.0,67.9
Covington Hwy,DeKalb,995.0,5.0,6.0,3.0,0.0,14.0,51.0,99.0,56.0,4.0,210.0,0.0,4.0,4.0,0.0,8.0,232.0,23.3
Covington,DeKalb,2376.0,45.0,69.0,38.0,0.0,152.0,113.0,673.0,349.0,6.0,1141.0,7.0,11.0,12.0,0.0,30.0,1323.0,55.7
Clairemont East,DeKalb,3226.0,60.0,205.0,159.0,3.0,427.0,78.0,1079.0,1107.0,1.0,2265.0,8.0,16.0,11.0,0.0,35.0,2727.0,84.5
Coralwood,DeKalb,3153.0,115.0,389.0,272.0,3.0,779.0,101.0,872.0,882.0,1.0,1856.0,10.0,16.0,19.0,0.0,45.0,2680.0,85.0
Candler Park,DeKalb,4018.0,60.0,185.0,112.0,0.0,357.0,89.0,1658.0,1281.0,2.0,3030.0,10.0,28.0,11.0,0.0,49.0,3436.0,85.5
Clarkston Community Center,DeKalb,2495.0,56.0,99.0,46.0,4.0,205.0,197.0,595.0,371.0,7.0,1170.0,14.0,18.0,9.0,1.0,42.0,1417.0,56.8
Chamblee 2,DeKalb,3137.0,138.0,551.0,241.0,0.0,930.0,92.0,893.0,539.0,0.0,1524.0,12.0,35.0,11.0,0.0,58.0,2512.0,80.1
Doraville North,DeKalb,3065.0,130.0,199.0,121.0,4.0,454.0,265.0,706.0,396.0,4.0,1371.0,8.0,23.0,18.0,1.0,50.0,1875.0,61.2
Doraville South,DeKalb,1255.0,78.0,101.0,57.0,1.0,237.0,91.0,286.0,195.0,3.0,575.0,2.0,13.0,9.0,0.0,24.0,836.0,66.6
Dresden Elem,DeKalb,5141.0,193.0,476.0,223.0,4.0,896.0,304.0,1185.0,863.0,6.0,2358.0,17.0,43.0,30.0,0.0,90.0,3344.0,65.0
Decatur,DeKalb,1937.0,33.0,92.0,39.0,0.0,164.0,67.0,863.0,507.0,1.0,1438.0,7.0,10.0,10.0,0.0,27.0,1629.0,84.1
Dunaire Elem,DeKalb,2268.0,37.0,70.0,57.0,2.0,166.0,175.0,606.0,398.0,5.0,1184.0,8.0,21.0,8.0,0.0,37.0,1387.0,61.2
Dunwoody,DeKalb,3003.0,118.0,460.0,196.0,1.0,775.0,108.0,768.0,518.0,6.0,1400.0,10.0,18.0,16.0,1.0,45.0,2220.0,73.9
Dunwoody 2,DeKalb,2044.0,139.0,516.0,241.0,4.0,900.0,36.0,487.0,304.0,2.0,829.0,5.0,16.0,7.0,0.0,28.0,1757.0,86.0
Druid Hills High,DeKalb,2725.0,88.0,122.0,127.0,1.0,338.0,105.0,621.0,634.0,2.0,1362.0,6.0,11.0,10.0,0.0,27.0,1727.0,63.4
Dunwoody Library,DeKalb,2570.0,107.0,799.0,307.0,1.0,1214.0,31.0,565.0,368.0,1.0,965.0,7.0,18.0,16.0,1.0,42.0,2221.0,86.4
East Lake,DeKalb,4139.0,55.0,179.0,58.0,2.0,294.0,198.0,1489.0,917.0,6.0,2610.0,18.0,44.0,12.0,0.0,74.0,2978.0,71.9
Embry Hills,DeKalb,1721.0,73.0,251.0,140.0,0.0,464.0,65.0,435.0,374.0,0.0,874.0,6.0,13.0,13.0,0.0,32.0,1370.0,79.6
Evansdale Elem,DeKalb,3441.0,141.0,424.0,245.0,1.0,811.0,175.0,848.0,631.0,4.0,1658.0,14.0,20.0,13.0,0.0,47.0,2516.0,73.1
Emory South,DeKalb,3241.0,109.0,241.0,156.0,0.0,506.0,147.0,933.0,855.0,7.0,1942.0,9.0,18.0,22.0,0.0,49.0,2497.0,77.0
Emory Road,DeKalb,2290.0,32.0,65.0,67.0,0.0,164.0,118.0,621.0,409.0,7.0,1155.0,4.0,4.0,7.0,1.0,16.0,1335.0,58.3
Fairington Elem,DeKalb,5455.0,18.0,45.0,25.0,0.0,88.0,436.0,1555.0,634.0,20.0,2645.0,10.0,35.0,11.0,1.0,57.0,2790.0,51.1
Fernbank Elem,DeKalb,2125.0,88.0,162.0,161.0,3.0,414.0,86.0,638.0,722.0,1.0,1447.0,4.0,3.0,8.0,0.0,15.0,1876.0,88.3
Flat Shoals Elem,DeKalb,2409.0,15.0,19.0,13.0,0.0,47.0,191.0,634.0,403.0,10.0,1238.0,8.0,8.0,7.0,0.0,23.0,1308.0,54.3
Flat Shoals Parkway,DeKalb,3449.0,19.0,47.0,11.0,0.0,77.0,191.0,1302.0,747.0,4.0,2244.0,10.0,17.0,8.0,0.0,35.0,2356.0,68.3
Flat Rock Elem,DeKalb,3142.0,17.0,46.0,20.0,0.0,83.0,245.0,1311.0,516.0,6.0,2078.0,7.0,21.0,8.0,1.0,37.0,2198.0,70.0
Flat Shoals,DeKalb,2649.0,12.0,19.0,9.0,0.0,40.0,178.0,644.0,445.0,8.0,1275.0,12.0,11.0,11.0,0.0,34.0,1349.0,50.9
Flakes Mill Fire Station,DeKalb,2103.0,9.0,26.0,20.0,0.0,55.0,112.0,740.0,412.0,7.0,1271.0,4.0,11.0,3.0,0.0,18.0,1344.0,63.9
Flat Shoals Library,DeKalb,2788.0,10.0,22.0,11.0,0.0,43.0,232.0,728.0,404.0,2.0,1366.0,10.0,14.0,7.0,1.0,32.0,1441.0,51.7
Freedom Middle,DeKalb,3227.0,48.0,70.0,64.0,0.0,182.0,273.0,840.0,529.0,11.0,1653.0,8.0,18.0,10.0,0.0,36.0,1871.0,58.0
Glennwood,DeKalb,2715.0,41.0,116.0,82.0,2.0,241.0,72.0,847.0,790.0,4.0,1713.0,8.0,18.0,17.0,0.0,43.0,1997.0,73.6
Glenhaven,DeKalb,1880.0,40.0,35.0,38.0,0.0,113.0,209.0,479.0,302.0,3.0,993.0,6.0,11.0,5.0,0.0,22.0,1128.0,60.0
Gresham Road,DeKalb,3601.0,16.0,50.0,37.0,1.0,104.0,212.0,1154.0,754.0,15.0,2135.0,10.0,29.0,13.0,0.0,52.0,2291.0,63.6
Georgetown Sq,DeKalb,4155.0,166.0,576.0,203.0,4.0,949.0,184.0,1109.0,561.0,5.0,1859.0,10.0,29.0,9.0,1.0,49.0,2857.0,68.8
Glenwood Road,DeKalb,2293.0,24.0,34.0,33.0,0.0,91.0,187.0,535.0,379.0,5.0,1106.0,8.0,5.0,12.0,0.0,25.0,1222.0,53.3
Hambrick Elem,DeKalb,3776.0,80.0,140.0,101.0,2.0,323.0,275.0,1072.0,592.0,9.0,1948.0,11.0,22.0,11.0,1.0,45.0,2316.0,61.3
Hawthorne Elem,DeKalb,3884.0,144.0,355.0,170.0,1.0,670.0,222.0,1087.0,639.0,5.0,1953.0,17.0,29.0,14.0,1.0,61.0,2684.0,69.1
Henderson Mill,DeKalb,3104.0,119.0,402.0,255.0,0.0,776.0,129.0,794.0,616.0,2.0,1541.0,12.0,29.0,18.0,0.0,59.0,2376.0,76.5
Huntley Hills Elem,DeKalb,3508.0,140.0,345.0,139.0,1.0,625.0,252.0,1027.0,464.0,5.0,1748.0,18.0,39.0,17.0,0.0,74.0,2447.0,69.8
Hugh Howell,DeKalb,1773.0,111.0,229.0,185.0,1.0,526.0,115.0,469.0,289.0,0.0,873.0,7.0,15.0,7.0,0.0,29.0,1428.0,80.5
