,Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,calc_participation
52,04I,Fulton,4604.0,60.0,368.0,125.0,6.0,559.0,559.0,12.1
51,04G,Fulton,1025.0,94.0,148.0,67.0,1.0,310.0,310.0,30.2
50,04F,Fulton,2786.0,169.0,645.0,170.0,9.0,993.0,993.0,35.6
49,04D,Fulton,1736.0,128.0,352.0,151.0,5.0,636.0,636.0,36.6
58,04T,Fulton,1297.0,104.0,273.0,128.0,16.0,521.0,521.0,40.2
48,04C,Fulton,150.0,9.0,22.0,11.0,1.0,43.0,43.0,28.7
70,05K,Fulton,2826.0,140.0,608.0,233.0,3.0,984.0,984.0,34.8
72,06D,Fulton,6160.0,315.0,1986.0,1648.0,10.0,3959.0,3959.0,64.3
92,07J,Fulton,3041.0,180.0,983.0,467.0,10.0,1640.0,1640.0,53.9
91,07H,Fulton,2060.0,102.0,639.0,362.0,0.0,1103.0,1103.0,53.5
90,07F,Fulton,3790.0,192.0,1201.0,572.0,22.0,1987.0,1987.0,52.4
89,07E,Fulton,2247.0,63.0,710.0,473.0,5.0,1251.0,1251.0,55.7
88,07D,Fulton,4879.0,264.0,1490.0,562.0,14.0,2330.0,2330.0,47.8
87,07C,Fulton,4512.0,218.0,1090.0,823.0,11.0,2142.0,2142.0,47.5
86,07B,Fulton,2952.0,148.0,939.0,534.0,0.0,1621.0,1621.0,54.9
85,07A,Fulton,7691.0,472.0,2180.0,1081.0,17.0,3750.0,3750.0,48.8
84,06R,Fulton,2015.0,61.0,618.0,331.0,2.0,1012.0,1012.0,50.2
71,06B,Fulton,1889.0,88.0,658.0,298.0,7.0,1051.0,1051.0,55.6
83,06Q,Fulton,571.0,42.0,180.0,53.0,4.0,279.0,279.0,48.9
81,06L2,Fulton,726.0,28.0,245.0,118.0,1.0,392.0,392.0,54.0
80,06L1,Fulton,991.0,34.0,341.0,198.0,1.0,574.0,574.0,57.9
79,06J,Fulton,2770.0,93.0,962.0,591.0,1.0,1647.0,1647.0,59.5
78,06I,Fulton,4072.0,277.0,1268.0,473.0,19.0,2037.0,2037.0,50.0
77,06G,Fulton,588.0,19.0,193.0,103.0,1.0,316.0,316.0,53.7
76,06F,Fulton,2841.0,99.0,1049.0,434.0,3.0,1585.0,1585.0,55.8
75,06E,Fulton,2344.0,114.0,782.0,346.0,2.0,1244.0,1244.0,53.1
74,06D2,Fulton,850.0,22.0,302.0,46.0,1.0,371.0,371.0,43.6
73,06D1,Fulton,2539.0,71.0,913.0,140.0,3.0,1127.0,1127.0,44.4
82,06N,Fulton,1770.0,78.0,481.0,259.0,10.0,828.0,828.0,46.8
93,07M,Fulton,2401.0,134.0,607.0,330.0,0.0,1071.0,1071.0,44.6
47,04B,Fulton,2948.0,105.0,333.0,157.0,0.0,595.0,595.0,20.2
45,03T,Fulton,1742.0,125.0,399.0,111.0,4.0,639.0,639.0,36.7
20,02F1,Fulton,3221.0,106.0,1180.0,601.0,5.0,1892.0,1892.0,58.7
19,02E,Fulton,2009.0,98.0,800.0,370.0,0.0,1268.0,1268.0,63.1
18,02D,Fulton,5539.0,243.0,1732.0,905.0,18.0,2898.0,2898.0,52.3
17,02C,Fulton,2034.0,76.0,610.0,323.0,28.0,1037.0,1037.0,51.0
16,02B,Fulton,4020.0,146.0,669.0,234.0,26.0,1075.0,1075.0,26.7
15,02A1,Fulton,733.0,32.0,278.0,46.0,2.0,358.0,358.0,48.8
